Country,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Depth of credit information index (0=low to 8=high),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband Internet subscribers (per 100 people),GDP growth (annual %),GDP per capita (constant 2005 US$),"GDP per capita, PPP (constant 2011 international $)",Individuals using the Internet (% of population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Mobile cellular subscriptions (per 100 people),"Own-account workers, female (% of female employment) (modeled ILO estimate)","Own-account workers, male (% of male employment) (modeled ILO estimate)","Own-account workers, total (% of male employment) (modeled ILO estimate)",Population ages 0-14 (% of total),"Population ages 0-14, total",Population ages 15-64 (% of total),"Population ages 15-64, total",Population ages 65 and above (% of total),"Population ages 65 and above, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Rural population,Rural population (% of total population),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",Tax payments (number),Telephone lines (per 100 people),Time required to enforce a contract (days),Time required to start a business (days),Time to prepare and pay taxes (hours),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population,Urban population (% of total),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Net trade in goods and services (BoP, current US$)"
Georgia,100.0,47.052,50.7798447242865,33.5270004272461,14.7469997406006,23.6009998321533,8.0,0.842000007629395,1.38999998569489,1.13199996948242,41.2449989318848,41.8199996948242,40.7330017089844,12.3549995422363,4.03800010681152,19.7670001983643,46.4000015258789,54.1419982910156,39.5009994506836,654.4065015,312.5064774,1.996,17.6068966132157,2.848973396234,4083.99815844957,9276.76624499826,59.26,57.7369995117188,78.6630020141602,67.4980010986328,2034776.0,77.482,68.984,140.924949145375,21.9409999847412,42.5509986877441,32.8339996337891,18.9478537883352,704728.0,66.3218699726525,2466709.0,14.7302762390123,547863.0,65.0705063158263,0.0591684165505642,3719300.0,88.6,0.0,1568168.0,42.163,56.310001373291,58.6889991760254,57.5670013427734,5.0,21.4100455876527,285.0,2.0,270.0,8.8430004119873,14.2089996337891,11.7600002288818,28.2789993286133,30.746000289917,29.931999206543,2151132.0,57.837,55.4680004119873,57.2979984283447,56.4349994659424,43.689998626709,41.3110008239746,42.4329986572266,-2310734036.03
Chad,8.83089828491211,164.516,99.42601630728,50.7389984130859,12.6219997406006,29.8600006103516,0.0,0.172999992966652,0.47299998998642,0.337999999523163,87.2490005493164,92.5189971923828,82.8990020751953,4.74599981307983,2.92000007629395,6.25500011444092,8.00399971008301,4.56300020217896,10.8459997177124,874.3169399,514.9147636,5.947,0.0724439982638349,-6.25552708545281,874.767072140967,1878.37848258326,5.0,64.7369995117188,77.6600036621094,71.1640014648438,5411573.0,54.138,51.685,38.6486239826444,47.826000213623,73.0459976196289,61.640998840332,47.3838687073963,6848174.0,50.1439089300755,7247070.0,2.47222236252817,357299.0,11.4775595616264,3.11409244065461,14452543.0,0.0,2.3,11175140.0,77.323,98.7379989624023,86.140998840332,91.8379974365234,54.0,0.0922467416287916,743.0,60.0,766.0,6.82399988174438,4.90899991989136,5.78499984741211,10.9359998703003,9.34700012207031,10.1440000534058,3277403.0,22.677,98.5649986267089,85.6679973602295,91.5009994506836,1.26199996471405,13.8590002059937,8.16199970245361,4.924831081081081
Morocco,100.0,31.6776,51.8100696771866,47.7280006408691,12.5509996414185,21.673999786377,7.0,0.919000029563904,3.70900011062622,2.98600006103516,37.742000579834,57.2179985046387,30.9230003356934,19.5,12.5129995346069,21.9459991455078,42.757999420166,30.2689990997314,47.1310005187988,306.4182099,199.9975506,2.491,3.55879359304445,1.2224436474776,3204.86465254499,7285.90832106945,58.271236420398,25.0270004272461,74.2969970703125,49.0870018005371,12541812.0,76.956,74.642,117.680598793779,16.4209995269775,33.6599998474121,29.1889991760254,27.5722879062735,9726617.0,65.8717832174394,23237448.0,6.55592887628709,2312721.0,79.0427649563074,1.35122852209619,35276786.0,24.6,0.0,13630950.0,38.64,65.0670013427734,49.9199981689453,53.8479995727539,6.0,5.86837190893751,510.0,10.0,211.0,9.92899990081787,9.21300029754639,9.39999961853027,16.8110008239746,19.2089996337891,18.6219997406006,21645836.0,61.36,64.1490001678466,46.2109994888306,50.8629989624024,34.9329986572266,50.0800018310547,46.1520004272461,-10739249607.2905
Kenya,56.0,81.7916,77.045331711067,48.3489990234375,23.7779998779297,35.1910018920898,7.0,7.67199993133545,7.5479998588562,7.60599994659424,38.0909996032715,47.3359985351563,30.07200050354,14.1990003585815,7.49100017547607,20.0179996490479,47.7099990844727,45.1720008850098,49.9099998474121,328.4185129,193.1628915,3.852,0.315697591866974,5.86919284911032,1143.36440424737,2926.53250207873,16.6,62.5139999389648,68.4680023193359,65.443000793457,18748056.0,69.44,64.638,80.4393881856936,22.6630001068115,16.3570003509521,19.2859992980957,40.88528751041,19813651.0,56.4827092776426,27372406.0,2.63200321194731,1275510.0,85.1487630459992,2.56092539826487,48461567.0,25.8,0.0,35810675.0,73.895,78.6839981079102,47.681999206543,62.0820007324219,31.0,0.150224197248925,465.0,23.0,195.5,15.3190002441406,7.93800020217896,11.5200004577637,33.1479988098145,20.1539993286133,26.2509994506836,12650892.0,26.105,71.011999130249,40.1350002288818,54.4770011901855,21.3159999847412,52.318000793457,37.9179992675781,-6258681910.57285
"Congo, Rep.",56.5661697387695,114.0906,84.3862288965541,4.42600011825562,4.59499979019165,4.51399993896484,2.0,0.794000029563904,2.18600010871887,1.51499998569489,36.7229995727539,37.6910018920898,35.8219985961914,25.681999206543,25.6590003967285,25.7029991149902,37.5950012207031,36.6510009765625,38.4729995727539,143.5687425,77.2784275,4.661,4.924831081081081,-2.80001878768313,2771.39734452277,5250.86760824979,8.121949323466,67.4509963989258,72.052001953125,69.7409973144531,2059688.0,66.271,63.016,105.817194943015,87.0130004882813,54.9029998779297,70.3769989013672,42.3831031165544,2172482.0,54.2339851508666,2779937.0,3.38291173257904,173402.0,15.0097247437775,2.57235739004817,5125821.0,0.0,12.2,1742728.0,33.999,92.2330017089844,61.6839981079102,76.4069976806641,50.0,0.331654187690128,560.0,50.0,602.0,11.1079998016357,9.77299976348877,10.4209995269775,20.9829998016357,22.0540008544922,21.5189990997314,3383093.0,66.001,91.4390006065369,59.4979996681214,74.890998840332,7.76700019836426,38.3160018920898,23.5930004119873,-2691494915.77189
Sierra Leone,20.3,115.5808,81.6210861673656,5.22499990463257,6.03399991989136,5.625,0.0,2.58500003814697,2.1489999294281,2.36999988555908,60.5849990844727,59.7690010070801,61.4210014343262,6.10900020599365,0.843999981880188,11.5030002593994,33.3059997558594,39.3870010375977,27.0750007629395,4872.180076,5267.423,4.457,4.924831081081081,6.05547402886204,453.663921596255,1363.86357140879,11.77318438,57.2980003356934,58.8269996643066,58.0499992370605,2472407.0,52.417,51.258,84.8987113635534,87.5329971313477,76.370002746582,82.0199966430664,42.4149595940613,3137091.0,55.0596861356996,4072319.0,2.52535427023914,186780.0,102.468689387642,2.17547924087244,7396190.0,0.0,1.6,4346889.0,58.772,95.3430023193359,84.5540008544922,90.0139999389648,34.0,0.229848070425449,515.0,10.0,343.0,3.7739999294281,5.42799997329712,4.59800004959106,5.87799978256226,14.3450002670288,9.34099960327148,3049301.0,41.228,92.7579970359803,82.4040026664734,87.6449966430664,4.65700006484985,15.4460000991821,9.98600006103516,-634813013.317395
Malaysia,100.0,13.361,44.2955285376256,7.67500019073486,2.34699988365173,4.3600001335144,8.0,1.4539999961853,4.67999982833862,3.46099996566772,11.3669996261597,6.80700016021729,14.1350002288818,27.4869995117188,19.9769992828369,32.0460014343262,61.1459999084473,73.2160034179688,53.8190002441406,192.8294374,167.1296066,2.037,8.71766087856694,4.21985131964395,11031.8215581749,25668.884358229,78.7883099275229,50.5960006713867,77.1380004882813,64.322998046875,15121369.0,77.7,73.161,139.367783612959,17.4099998474121,18.0610008239746,17.8150005340576,24.6214889314597,7678769.0,69.3022167862427,21613466.0,6.0762942822976,1895030.0,94.9239537361132,1.49932335842914,31187265.0,76.4,62.4,7846716.0,25.16,26.5389995574951,25.0879993438721,25.6359996795654,9.0,15.510176990512,425.0,18.5,164.0,3.95900011062622,3.12199997901917,3.44000005722046,11.7110004425049,10.0799999237061,10.7250003814697,23340549.0,74.84,25.085000038147,20.4080007076263,22.175000667572,73.4609985351563,74.9120025634766,74.3639984130859,19990335308.9183
Panama,93.4178009033203,82.8346,54.7184276714605,7.25299978256226,3.32599997520447,4.8600001335144,8.0,2.23000001907349,4.53700017929077,3.63499999046326,15.3620004653931,8.85700035095215,19.5359992980957,18.3920001983643,10.1379995346069,23.6889991760254,66.2460021972656,81.0059967041016,56.7750015258789,1170.449297,173.3818599,2.514,10.6573702957201,4.98859240427846,11102.556965498,21472.6901894809,54.0,52.7779998779297,81.1660003662109,66.9100036621094,1953279.0,81.092,75.071,127.457023454192,23.9260005950928,29.6119995117188,27.3910007476807,27.6356746045419,1114856.0,64.6335420447438,2607394.0,7.73078335071424,311869.0,54.2657923056228,1.62110303145586,4034119.0,58.1,0.0,1330170.0,32.973,33.4090003967285,37.4749984741211,35.8860015869141,52.0,16.1823684427752,790.0,6.0,417.0,5.67000007629395,3.48900008201599,4.35300016403198,15.9090003967285,9.11600017547607,11.5699996948242,2703949.0,67.027,31.1790003776551,32.9379994869233,32.2510008811951,66.5910034179688,62.5250015258789,64.1139984130859,-266461140.0
Botswana,60.6883964538574,31.7182,54.9102244080015,3.46000003814697,3.03200006484985,3.22199988365173,6.0,1.58299994468689,3.92000007629395,2.88100004196167,26.048999786377,20.7959995269775,30.2439994812012,13.5649995803833,4.72700023651123,20.6229991912842,60.3860015869141,74.4769973754883,49.132999420166,275.1978638,202.3603936,2.73,2.62445228551367,4.31550626955971,7485.04391177323,15727.167803336,39.36299738,65.2460021972656,78.2360000610352,71.6050033569336,1101759.0,69.517,64.001,146.160265924826,12.3129997253418,11.3039999008179,11.7530002593994,31.622923573276,711598.0,64.5535182601122,1452622.0,3.82355816661186,86040.0,3.97060328551515,1.84166640095137,2250260.0,53.5,0.0,721591.0,32.067,17.3560009002686,18.2560005187988,17.8560009002686,34.0,6.31580350715028,660.0,48.0,152.0,20.7880001068115,13.9250001907349,17.117000579834,42.640998840332,28.9220008850098,35.2729988098145,1528669.0,67.933,15.7729997634888,14.3359999656677,14.9750001430511,82.6439971923828,81.7440032958984,82.1439971923828,1308031982.08468
France,100.0,8.8022,60.0524272863093,0.662000000476837,0.17399999499321,0.404000014066696,6.0,2.30100011825562,6.09299993515015,4.30800008773804,2.87199997901917,1.62199997901917,3.98300004005432,20.2940006256104,9.17000007629395,30.1879997253418,76.8339996337891,89.2080001831055,65.8290023803711,153.2687706,97.38317757,1.96,42.7436728502122,1.18765038087423,41968.9815739992,38062.6397284874,79.27,50.6749992370605,60.431999206543,55.4210014343262,30319992.0,85.5,79.2,104.40401670625,5.4980001449585,8.72000026702881,7.20300006866455,18.1742778082249,12151280.0,62.4795270260561,41773667.0,19.346195165719,12934821.0,122.105585354584,0.399244807338297,66859768.0,0.0,46.7,13427447.0,20.083,8.46100044250488,14.9870004653931,11.914999961853,9.0,60.2682078945697,395.0,3.5,139.0,9.84799957275391,10.2480001449585,10.0600004196167,23.9139995574951,24.9200000762939,24.4710006713867,53432321.0,79.917,6.16000014543534,8.89400026202202,7.60700008273125,91.5390014648438,85.0130004882813,88.0849990844727,-12213190138.5204
